CODICE_COMUNE,num_strade,num_civici,num_civici_con_coord,CODICE_ISTAT
A001,276,7256,0,028001
A004,21,185,0,098001
A005,134,1517,0,097001
A006,188,3720,0,052001
A007,207,3357,0,095001
A008,62,480,0,068001
A010,510,9332,0,015002
A013,149,2426,0,076001
A014,168,6920,6920,088001
A015,179,2133,0,071001
A016,36,771,0,004001
A017,137,3175,0,077001
A018,49,1922,0,066001
A019,49,1942,0,057001
A020,217,2704,0,076002
A022,26,398,0,021020
A023,74,1638,0,065001
A024,494,14709,1,063001
A025,83,2464,0,087001
A026,219,6833,3,087002
A027,177,6415,0,087003
A028,667,28671,0,087004
A029,208,4711,0,087005
A032,50,1002,0,060001
A033,87,2078,0,078001
A034,79,831,0,017001
A035,76,2677,0,041001
A038,125,1539,0,020001
A039,39,619,0,019001
A040,646,4588,0,056001
A041,57,1931,0,078002
A043,133,3807,0,102001
A044,59,2904,0,044001
A045,151,3216,0,055001
A047,113,1461,3,044002
A048,529,12941,0,072001
A049,100,2207,0,085001
A050,109,536,0,070001
A051,21,339,0,094001
A052,294,10304,10304,006001
A053,357,14062,0,078003
A054,92,1759,0,060002
A055,262,9369,0,072002
A056,879,28051,11997,087006
A057,86,1884,0,016001
A058,56,929,0,016002
A059,369,9612,1,029001
A060,129,3135,0,017002
A061,85,1998,0,023001
A062,80,791,233,058001
A064,419,13335,0,063002
A065,50,1026,0,080001
A067,99,981,0,033001
A068,225,3979,0,063003
A069,122,1171,0,090001
A070,471,9328,0,086001
A071,220,9062,0,047002
A072,48,1800,0,005001
A074,138,1486,0,001001
A075,46,1811,1402,028002
A076,100,1041,0,019002
A077,50,743,0,080002
A080,127,4615,0,094002
A081,55,720,0,060088
A082,53,1546,1545,017003
A083,120,2310,0,025001
A084,67,3818,0,058002
A085,47,679,0,012001
A087,122,2954,0,108001
A088,68,951,1,003001
A089,1468,33504,0,084001
A091,315,9362,0,065002
A092,107,1941,0,042001
A093,35,878,0,024001
A094,273,2161,0,007007
A096,44,443,0,108002
A097,124,928,0,095002
A098,242,6355,0,086002
A100,84,1307,0,066002
A101,81,1729,0,064001
A102,140,1980,0,078004
A103,52,1144,0,030001
A105,87,1583,0,078005
A106,77,1452,0,061001
A107,32,303,0,096001
A108,72,1541,2,007008
A109,52,1835,0,001002
A110,152,5071,0,062001
A111,38,1024,0,008001
A112,66,734,0,097002
A113,57,565,0,004002
A115,159,2667,0,090002
A116,225,3849,0,022001
A117,33,765,0,001003
A118,25,954,0,018001
A119,278,2019,687,002002
A120,128,2520,0,068002
A122,308,10676,0,009001
A123,449,15123,38,060003
A124,292,8284,0,004003
A125,226,5295,5294,067001
A126,34,224,0,095003
A127,104,2024,0,015005
A128,119,3268,0,065003
A129,105,2224,0,016003
A130,27,222,0,002003
A131,129,1098,0,076003
A132,341,12135,446,058003
A135,72,215,0,014001
A137,95,2402,0,023002
A138,55,1979,0,034001
A139,9,153,0,004004
A143,76,1882,0,013003
A145,477,8993,0,009002
A146,45,539,0,006002
A149,330,8830,0,072003
A150,116,2088,0,071002
A153,76,1259,0,013004
A154,51,1385,0,024002
A155,67,1738,0,079002
A157,53,996,0,001004
A158,33,751,0,022002
A159,112,1472,0,108003
A160,84,2194,0,078006
A161,232,7668,0,028003
A162,133,3327,455,035001
A163,239,4967,174,016004
A164,45,631,0,013005
A165,127,1507,0,009003
A166,151,5373,0,009004
A167,103,1377,0,012002
A171,21,551,0,018003
A172,166,405,0,014002
A173,23,351,0,005002
A175,77,2787,0,018004
A176,1007,46661,0,081001
A177,164,2806,0,083001
A178,62,1398,0,022003
A179,35,990,0,021001
A180,144,1943,81,095004
A181,180,4341,0,084002
A182,839,34397,0,006003
A183,39,903,0,078007
A184,222,6139,1287,075002
A185,160,5479,2,075003
A186,33,581,0,065004
A187,83,1841,1812,066003
A188,87,1434,0,017004
A189,51,714,0,006004
A191,189,8957,8957,039001
A192,572,13232,0,090003
A193,13,428,0,016248
A194,71,1373,0,083002
A195,236,4709,0,082001
A196,86,1851,0,077002
A197,61,612,0,006005
A198,62,1560,10,002004
A200,134,2608,0,061002
A201,108,1942,0,083003
A202,197,4540,0,082002
A203,85,1291,0,082003
A204,90,433,0,095005
A205,34,429,0,007001
A206,65,1321,43,025003
A207,202,1175,0,055002
A208,290,6160,0,075004
A210,125,1140,1,058004
A214,77,1849,0,016005
A215,90,1777,0,016239
A216,210,2964,3,016006
A217,108,1982,0,016007
A218,116,2856,0,001006
A220,32,1042,0,024003
A221,35,502,0,001007
A222,137,5156,0,001008
A223,163,1877,0,033002
A224,26,400,0,013006
A225,1158,36378,0,072004
A226,100,1003,0,009005
A227,63,472,53,006007
A228,88,2596,0,064002
A229,234,2892,5,082004
A230,178,5640,0,065005
A231,150,4973,0,024004
A233,125,2292,0,109001
A234,94,641,0,078008
A235,60,2658,0,069001
A236,68,1215,445,024005
A237,81,3243,0,026001
A238,40,373,0,004005
A239,249,6717,0,082005
A240,141,3586,0,078009
A241,247,8071,0,046001
A242,87,1572,0,055003
A243,96,3739,0,061003
A244,183,3520,0,060004
A245,18,251,0,006008
A246,128,4302,0,016008
A249,123,2041,1994,013007
A251,155,2435,0,065006
A252,174,2539,0,109002
A253,250,7691,0,078010
A254,51,551,0,030002
A255,123,3657,0,079003
A256,99,1011,0,060005
A257,89,1288,0,079004
A258,117,8201,0,057002
A259,49,643,0,016009
A261,99,3156,0,011001
A262,286,5950,62,055004
A263,273,3296,16,078011
A264,113,948,0,003002
A265,64,2206,0,062002
A266,147,5153,0,025016
A267,60,1170,0,030003
A268,140,4124,0,063004
A269,378,10814,0,060006
A270,62,688,0,067002
A271,598,26467,1,042002
A272,62,1368,0,079005
A273,36,331,0,014003
A274,38,706,0,022005
A275,39,817,0,001009
A278,147,5057,0,009006
A280,70,1465,0,096002
A281,230,6670,0,075005
A282,46,696,0,001010
A283,12,928,0,093001
A284,129,3403,0,064003
